2020/07/18 21:34:07-command number 2, with commandLine number: 2, Processed By client1, The result was: 67.0
2020/07/18 21:34:07-command number 3, with commandLine number: 3, Processed By client1, The result was: 360.0
2020/07/18 21:34:07-command number 4, with commandLine number: 4, Processed By client1, The result was: 121.0
2020/07/18 21:34:07-command number 5, with commandLine number: 5, Processed By client1, The result was: 81.0
2020/07/18 21:34:07-command number 6, with commandLine number: 6, Processed By client1, The result was: 28.0
2020/07/18 21:34:12-command number 8, with commandLine number: 8, Processed By client2, The result was: 14.0
2020/07/18 21:34:12-command number 10, with commandLine number: 10, Processed By client2, The result was: 7.0
2020/07/18 21:34:12-command number 11, with commandLine number: 11, Processed By client2, The result was: 907.0
2020/07/18 21:34:12-command number 12, with commandLine number: 12, Processed By client2, The result was: 24.0
2020/07/18 21:34:12-command number 13, with commandLine number: 13, Processed By client2, The result was: 228.0
2020/07/18 21:34:12-command number 14, with commandLine number: 14, Processed By client2, The result was: 37926.0
2020/07/18 21:34:17-command number 15, with commandLine number: 15, Processed By client1, The result was: 34.77777777777778
2020/07/18 21:34:17-command number 16, with commandLine number: 16, Processed By client1, The result was: 34350.0
2020/07/18 21:34:17-command number 17, with commandLine number: 17, Processed By client1, The result was: 830.0
2020/07/18 21:34:17-command number 18, with commandLine number: 18, Processed By client1, The result was: 96.0
2020/07/18 21:34:17-command number 20, with commandLine number: 20, Processed By client1, The result was: 4.75
2020/07/18 21:34:17-command number 21, with commandLine number: 21, Processed By client1, The result was: 49.0
2020/07/18 21:34:22-command number 22, with commandLine number: 22, Processed By client2, The result was: 11.181818181818182
2020/07/18 21:34:22-command number 23, with commandLine number: 23, Processed By client2, The result was: 165.0
2020/07/18 21:34:22-command number 24, with commandLine number: 24, Processed By client2, The result was: 28.0
2020/07/18 21:34:22-command number 25, with commandLine number: 25, Processed By client2, The result was: 37926.0
2020/07/18 21:34:22-command number 26, with commandLine number: 26, Processed By client2, The result was: 34.77777777777778
2020/07/18 21:34:22-command number 27, with commandLine number: 27, Processed By client2, The result was: 0.0
2020/07/18 21:34:22-command number 28, with commandLine number: 28, Processed By client2, The result was: 830.0
2020/07/18 21:34:27-command number 29, with commandLine number: 29, Processed By client1, The result was: 80.0
2020/07/18 21:34:27-command number 30, with commandLine number: 30, Processed By client1, The result was: 4.75
2020/07/18 21:34:27-command number 31, with commandLine number: 31, Processed By client1, The result was: 100.0
2020/07/18 21:34:27-command number 32, with commandLine number: 32, Processed By client1, The result was: 11.181818181818182
2020/07/18 21:34:27-command number 33, with commandLine number: 33, Processed By client1, The result was: 165.0
2020/07/18 21:34:27-command number 34, with commandLine number: 34, Processed By client1, The result was: 28.0
