command number 2, By client1, on date 6/7/2020, with commandLine number 2, has result 67.0
command number 3, By client1, on date 6/7/2020, with commandLine number 3, has result 360.0
command number 4, By client1, on date 6/7/2020, with commandLine number 4, has result 121.0
command number 5, By client1, on date 6/7/2020, with commandLine number 5, has result 81.0
command number 11, By client1, on date 6/7/2020, with commandLine number 11, has result 907.0
command number 12, By client1, on date 6/7/2020, with commandLine number 12, has result 24.0
command number 13, By client1, on date 6/7/2020, with commandLine number 13, has result 228.0
command number 14, By client1, on date 6/7/2020, with commandLine number 14, has result 37926.0
command number 15, By client1, on date 6/7/2020, with commandLine number 15, has result 34.77777777777778
command number 21, By client1, on date 6/7/2020, with commandLine number 21, has result 49.0
command number 22, By client1, on date 6/7/2020, with commandLine number 22, has result 11.181818181818182
command number 23, By client1, on date 6/7/2020, with commandLine number 23, has result 165.0
command number 24, By client1, on date 6/7/2020, with commandLine number 24, has result 28.0
command number 25, By client1, on date 6/7/2020, with commandLine number 25, has result 37926.0
command number 6, By client2, on date 6/7/2020, with commandLine number 6, has result 28.0
command number 8, By client2, on date 6/7/2020, with commandLine number 8, has result 14.0
command number 10, By client2, on date 6/7/2020, with commandLine number 10, has result 7.0
command number 16, By client2, on date 6/7/2020, with commandLine number 16, has result 34350.0
command number 17, By client2, on date 6/7/2020, with commandLine number 17, has result 830.0
command number 18, By client2, on date 6/7/2020, with commandLine number 18, has result 96.0
command number 20, By client2, on date 6/7/2020, with commandLine number 20, has result 4.75
